,gift,ques_no,neg_no,pos_no,bullet_length,likecounts,viewcounts,vocalarousal,vocalvalence,vocalpositive,vocalnegative,m_beauty,pos_p,neg_p,num,fin_pos,fin_neg,eval_pos,eval_neg,emo_pos,emo_neg,m_silenceduration,m_speechrate,m_emotionvalue
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.32,0.39,0.0,58.79088,0.0868629,0.1879038,10984.0,246.0,174.0,1180.0,24.0,232.0,75.0,0.0833333,354.7857,7.503572
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.62,0.08,0.72,60.79063,0.1402721,0.189932,12379.0,304.0,139.0,1158.0,79.0,191.0,77.0,0.1050725,302.1014,6.625362
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.02,0.82,0.01,60.96723,0.1323392,0.1711712,9487.0,183.0,85.0,946.0,47.0,151.0,38.0,0.0,309.0,6.710909
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.02,0.82,0.01,60.96723,0.1323392,0.1711712,9487.0,183.0,85.0,946.0,47.0,151.0,38.0,0.0,309.0,6.710909
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.02,0.82,0.01,60.96723,0.1323392,0.1711712,9487.0,183.0,85.0,946.0,47.0,151.0,38.0,0.0,309.0,6.710909
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.18,0.32,0.02,64.67526,0.0156692,0.2901744,14188.0,374.0,169.0,1257.0,93.0,197.0,70.0,0.4432432,276.3946,7.082703
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.67,0.05,0.0,54.59512,0.0398148,0.4418981,15362.0,299.0,141.0,1315.0,80.0,246.0,99.0,0.5033113,293.6954,6.978808
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.67,0.05,0.0,54.59512,0.0398148,0.4418981,15362.0,299.0,141.0,1315.0,80.0,246.0,99.0,0.5033113,293.6954,6.978808
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.42,0.98,0.0,70.2715,0.0194728,0.3633136,14819.0,540.0,141.0,1270.0,51.0,307.0,111.0,1.771044,287.2559,6.747475
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.42,0.98,0.0,70.2715,0.0194728,0.3633136,14819.0,540.0,141.0,1270.0,51.0,307.0,111.0,1.771044,287.2559,6.747475
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.42,0.98,0.0,70.2715,0.0194728,0.3633136,14819.0,540.0,141.0,1270.0,51.0,307.0,111.0,1.771044,287.2559,6.747475
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.42,0.98,0.0,70.2715,0.0194728,0.3633136,14819.0,540.0,141.0,1270.0,51.0,307.0,111.0,1.771044,287.2559,6.747475
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.42,0.98,0.0,70.2715,0.0194728,0.3633136,14819.0,540.0,141.0,1270.0,51.0,307.0,111.0,1.771044,287.2559,6.747475
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.25,0.03,0.01,59.1434,0.1083587,0.4386499,10421.0,235.0,124.0,894.0,41.0,93.0,118.0,0.3402062,247.8144,7.283505
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.25,0.03,0.01,59.1434,0.1083587,0.4386499,10421.0,235.0,124.0,894.0,41.0,93.0,118.0,0.3402062,247.8144,7.283505
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,-0.44,0.02,0.01,58.31314,0.0235236,0.1403191,9669.0,227.0,108.0,960.0,36.0,139.0,33.0,0.3626761,281.169,6.107042
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,-0.44,0.02,0.01,58.31314,0.0235236,0.1403191,9669.0,227.0,108.0,960.0,36.0,139.0,33.0,0.3626761,281.169,6.107042
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,-0.15,0.02,0.0,66.59742,0.4171377,0.1057429,13492.0,278.0,148.0,1218.0,55.0,162.0,59.0,0.2095808,310.2335,7.386827
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,-0.44,0.02,0.01,58.31314,0.0235236,0.1403191,9669.0,227.0,108.0,960.0,36.0,139.0,33.0,0.3626761,281.169,6.107042
19,0.0,0.0,0.0,0.0,0.0,0.0,43147.0,-0.05,-0.57,0.31,0.01,62.91311,0.2653631,0.0893855,735.0,21.0,6.0,68.0,5.0,8.0,2.0,1.0,316.5,6.3
20,0.0,0.0,0.0,0.0,0.0,0.0,43147.0,-0.05,-0.57,0.31,0.01,62.91311,0.2653631,0.0893855,735.0,21.0,6.0,68.0,5.0,8.0,2.0,1.0,316.5,6.3
21,0.0,0.0,0.0,0.0,0.0,0.0,43147.0,-0.05,-0.57,0.31,0.01,62.91311,0.2653631,0.0893855,735.0,21.0,6.0,68.0,5.0,8.0,2.0,1.0,316.5,6.3
22,0.0,0.0,0.0,0.0,0.0,0.0,35908.0,0.56,0.11,0.55,0.02,47.9551,0.0056745,0.2112458,11064.0,324.0,74.0,1224.0,42.0,126.0,104.0,0.9751553,281.1429,5.220497
23,0.0,0.0,0.0,0.0,0.0,0.0,56979.0,0.72,0.48,0.97,0.01,67.48082,0.0763538,0.3673285,13478.0,362.0,180.0,1358.0,83.0,233.0,89.0,0.0648148,310.8102,6.453704
24,0.0,0.0,0.0,0.0,0.0,0.0,56979.0,0.72,0.48,0.97,0.01,67.48082,0.0763538,0.3673285,13478.0,362.0,180.0,1358.0,83.0,233.0,89.0,0.0648148,310.8102,6.453704
25,0.0,0.0,0.0,0.0,0.0,0.0,56979.0,0.72,0.48,0.97,0.01,67.48082,0.0763538,0.3673285,13478.0,362.0,180.0,1358.0,83.0,233.0,89.0,0.0648148,310.8102,6.453704
26,0.0,0.0,0.0,0.0,0.0,11301.0,18621.0,0.92,0.49,0.81,0.0,62.34365,0.0787671,0.4863014,8229.0,220.0,80.0,753.0,38.0,115.0,20.0,1.06383,235.8794,6.47305
27,0.0,0.0,0.0,0.0,0.0,11301.0,18621.0,0.92,0.49,0.81,0.0,62.34365,0.0787671,0.4863014,8229.0,220.0,80.0,753.0,38.0,115.0,20.0,1.06383,235.8794,6.47305
28,0.0,0.0,0.0,0.0,0.0,11301.0,18621.0,0.92,0.49,0.81,0.0,62.34365,0.0787671,0.4863014,8229.0,220.0,80.0,753.0,38.0,115.0,20.0,1.06383,235.8794,6.47305
29,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.57,0.47,0.28,0.0,65.28434,0.0828379,0.1070044,14119.0,245.0,97.0,1579.0,35.0,246.0,156.0,0.1344538,319.8529,5.094538
30,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.57,0.47,0.28,0.0,65.28434,0.0828379,0.1070044,14119.0,245.0,97.0,1579.0,35.0,246.0,156.0,0.1344538,319.8529,5.094538
31,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.57,0.47,0.28,0.0,65.28434,0.0828379,0.1070044,14119.0,245.0,97.0,1579.0,35.0,246.0,156.0,0.1344538,319.8529,5.094538
32,0.0,0.0,0.0,0.0,0.0,0.0,601.0,0.74,0.67,0.8,0.0,64.9488,0.3085862,0.2230471,6708.0,129.0,59.0,628.0,37.0,113.0,29.0,2.895833,310.2917,6.383333
33,0.0,0.0,0.0,0.0,0.0,0.0,601.0,0.74,0.67,0.8,0.0,64.9488,0.3085862,0.2230471,6708.0,129.0,59.0,628.0,37.0,113.0,29.0,2.895833,310.2917,6.383333
34,0.0,0.0,0.0,0.0,0.0,0.0,602.0,0.63,0.57,0.12,0.0,67.70432,0.1348891,0.1547634,12016.0,313.0,131.0,1025.0,62.0,243.0,50.0,0.1004367,267.8952,6.818341
35,0.0,0.0,0.0,0.0,0.0,0.0,602.0,0.63,0.57,0.12,0.0,67.70432,0.1348891,0.1547634,12016.0,313.0,131.0,1025.0,62.0,243.0,50.0,0.1004367,267.8952,6.818341
36,0.0,0.0,0.0,0.0,0.0,48077.0,289926.0,0.51,-0.1,0.02,0.01,66.60338,0.0980749,0.0080645,9955.0,247.0,110.0,848.0,46.0,176.0,53.0,0.8538899,262.3378,6.804934
37,0.0,0.0,0.0,0.0,0.0,48077.0,289926.0,0.51,-0.1,0.02,0.01,66.60338,0.0980749,0.0080645,9955.0,247.0,110.0,848.0,46.0,176.0,53.0,0.8538899,262.3378,6.804934
38,0.0,0.0,0.0,0.0,0.0,48077.0,289926.0,0.51,-0.1,0.02,0.01,66.60338,0.0980749,0.0080645,9955.0,247.0,110.0,848.0,46.0,176.0,53.0,0.8538899,262.3378,6.804934
39,0.0,0.0,0.0,0.0,0.0,48077.0,289926.0,0.51,-0.1,0.02,0.01,66.60338,0.0980749,0.0080645,9955.0,247.0,110.0,848.0,46.0,176.0,53.0,0.8538899,262.3378,6.804934
40,0.0,0.0,0.0,0.0,0.0,3664.0,23274.0,0.7,0.92,0.64,0.01,70.73212,0.1408991,0.1970943,12004.0,252.0,184.0,1178.0,61.0,239.0,74.0,1.100629,288.4465,6.832076
41,0.0,0.0,0.0,0.0,0.0,3664.0,23274.0,0.7,0.92,0.64,0.01,70.73212,0.1408991,0.1970943,12004.0,252.0,184.0,1178.0,61.0,239.0,74.0,1.100629,288.4465,6.832076
42,0.0,0.0,0.0,0.0,0.0,10344.0,49106.0,0.62,0.51,0.0,0.0,60.98876,0.5993031,0.1313589,6689.0,113.0,58.0,615.0,24.0,101.0,42.0,1.923664,304.4427,6.647328
43,0.0,0.0,0.0,0.0,0.0,10344.0,49106.0,0.62,0.51,0.0,0.0,60.98876,0.5993031,0.1313589,6689.0,113.0,58.0,615.0,24.0,101.0,42.0,1.923664,304.4427,6.647328
44,0.0,0.0,0.0,0.0,0.0,14662.0,24030.0,0.36,0.02,0.02,0.0,72.39687,0.0296951,0.1739475,12475.0,237.0,132.0,1085.0,61.0,189.0,80.0,0.2486911,257.945,4.919633
45,0.0,0.0,0.0,0.0,0.0,14662.0,24030.0,0.36,0.02,0.02,0.0,72.39687,0.0296951,0.1739475,12475.0,237.0,132.0,1085.0,61.0,189.0,80.0,0.2486911,257.945,4.919633
46,0.0,0.0,0.0,0.0,0.0,14662.0,24030.0,0.36,0.02,0.02,0.0,72.39687,0.0296951,0.1739475,12475.0,237.0,132.0,1085.0,61.0,189.0,80.0,0.2486911,257.945,4.919633
47,0.0,0.0,0.0,0.0,0.0,51217.0,58397.0,0.6,0.72,0.99,0.0,53.62262,0.0847483,0.0798969,9608.0,241.0,104.0,878.0,61.0,211.0,57.0,1.325714,276.3314,6.270286
48,0.0,0.0,0.0,0.0,0.0,13741.0,20957.0,0.59,-0.11,0.03,0.12,69.88294,0.0595238,0.1889693,12834.0,263.0,147.0,1312.0,46.0,183.0,58.0,0.1545064,284.1845,7.052361
49,0.0,0.0,0.0,0.0,0.0,13741.0,20957.0,0.59,-0.11,0.03,0.12,69.88294,0.0595238,0.1889693,12834.0,263.0,147.0,1312.0,46.0,183.0,58.0,0.1545064,284.1845,7.052361
50,0.0,0.0,0.0,0.0,0.0,138319.0,145647.0,0.02,0.28,0.01,0.01,68.35892,0.0410202,0.1125427,8191.0,234.0,92.0,839.0,36.0,189.0,57.0,0.0759494,333.0506,7.010127
51,0.0,0.0,0.0,0.0,0.0,138319.0,145647.0,0.02,0.28,0.01,0.01,68.35892,0.0410202,0.1125427,8191.0,234.0,92.0,839.0,36.0,189.0,57.0,0.0759494,333.0506,7.010127
52,0.0,0.0,0.0,0.0,0.0,138319.0,145647.0,0.02,0.28,0.01,0.01,68.35892,0.0410202,0.1125427,8191.0,234.0,92.0,839.0,36.0,189.0,57.0,0.0759494,333.0506,7.010127
53,0.0,0.0,0.0,0.0,0.0,23523.0,30743.0,0.69,0.53,0.02,0.0,57.07964,0.3240243,0.1568206,8225.0,145.0,60.0,787.0,58.0,132.0,49.0,0.3777778,323.5333,6.202222
54,0.0,0.0,0.0,0.0,0.0,23523.0,30743.0,0.69,0.53,0.02,0.0,57.07964,0.3240243,0.1568206,8225.0,145.0,60.0,787.0,58.0,132.0,49.0,0.3777778,323.5333,6.202222
55,0.0,0.0,0.0,0.0,0.0,16083.0,23271.0,0.18,-0.31,0.89,0.02,70.60311,0.0125529,0.0393763,12991.0,213.0,85.0,1024.0,89.0,140.0,43.0,0.1422594,309.4268,7.124686
56,0.0,0.0,0.0,0.0,0.0,16083.0,23271.0,0.18,-0.31,0.89,0.02,70.60311,0.0125529,0.0393763,12991.0,213.0,85.0,1024.0,89.0,140.0,43.0,0.1422594,309.4268,7.124686
57,0.0,0.0,0.0,0.0,0.0,9366.0,16544.0,0.77,0.69,0.98,0.0,55.05875,0.0712353,0.2571686,9041.0,187.0,85.0,898.0,24.0,127.0,43.0,0.6233766,297.5584,6.579221
58,0.0,0.0,0.0,0.0,0.0,73791.0,80899.0,0.44,0.61,0.02,0.01,54.98577,0.0364847,0.390763,13746.0,305.0,126.0,1292.0,62.0,214.0,132.0,0.5,307.1121,7.268966
59,0.0,0.0,0.0,0.0,0.0,9366.0,16544.0,0.77,0.69,0.98,0.0,55.05875,0.0712353,0.2571686,9041.0,187.0,85.0,898.0,24.0,127.0,43.0,0.6233766,297.5584,6.579221
60,0.0,0.0,0.0,0.0,0.0,9366.0,16544.0,0.77,0.69,0.98,0.0,55.05875,0.0712353,0.2571686,9041.0,187.0,85.0,898.0,24.0,127.0,43.0,0.6233766,297.5584,6.579221
61,0.0,0.0,0.0,0.0,0.0,32864.0,40256.0,0.62,0.61,0.02,0.07,67.09283,0.2888567,0.4160637,10660.0,350.0,135.0,1003.0,64.0,338.0,77.0,0.339934,277.4687,6.878878
62,0.0,0.0,0.0,0.0,0.0,29436.0,46620.0,-0.1,-0.44,0.02,0.0,61.60605,0.0892722,0.2398245,12192.0,294.0,91.0,1103.0,41.0,202.0,38.0,0.1023622,328.7165,6.377953
63,0.0,0.0,0.0,0.0,0.0,29436.0,46620.0,-0.1,-0.44,0.02,0.0,61.60605,0.0892722,0.2398245,12192.0,294.0,91.0,1103.0,41.0,202.0,38.0,0.1023622,328.7165,6.377953
64,0.5,0.0,0.0,0.0,0.0,29129.0,36907.0,0.78,0.775,0.395,0.0,58.29979,0.2270777,0.1547532,11976.5,210.0,157.0,1039.0,68.5,175.5,95.0,0.4957361,294.1927,6.789079
