,pos_no,emo_neg,vocalarousal,vocalvalence,neg_p,vocalnegative,comsumer_positive,seller_positive
0,232.0,75.0,0.34,0.32,0.39,0.0,232.0,0.39
1,191.0,77.0,0.54,0.62,0.08,0.72,191.0,0.08
2,151.0,38.0,0.51,0.02,0.82,0.01,151.0,0.82
3,151.0,38.0,0.51,0.02,0.82,0.01,151.0,0.82
4,151.0,38.0,0.51,0.02,0.82,0.01,151.0,0.82
5,197.0,70.0,0.67,0.18,0.32,0.02,197.0,0.32
6,246.0,99.0,0.38,0.67,0.05,0.0,246.0,0.05
7,246.0,99.0,0.38,0.67,0.05,0.0,246.0,0.05
8,307.0,111.0,0.57,0.42,0.98,0.0,307.0,0.98
9,307.0,111.0,0.57,0.42,0.98,0.0,307.0,0.98
10,307.0,111.0,0.57,0.42,0.98,0.0,307.0,0.98
11,307.0,111.0,0.57,0.42,0.98,0.0,307.0,0.98
12,307.0,111.0,0.57,0.42,0.98,0.0,307.0,0.98
13,93.0,118.0,0.42,0.25,0.03,0.01,93.0,0.03
14,93.0,118.0,0.42,0.25,0.03,0.01,93.0,0.03
15,139.0,33.0,-0.21,-0.44,0.02,0.01,139.0,0.02
16,139.0,33.0,-0.21,-0.44,0.02,0.01,139.0,0.02
17,162.0,59.0,0.19,-0.15,0.02,0.0,162.0,0.02
18,139.0,33.0,-0.21,-0.44,0.02,0.01,139.0,0.02
19,8.0,2.0,-0.05,-0.57,0.31,0.01,8.0,0.31
20,8.0,2.0,-0.05,-0.57,0.31,0.01,8.0,0.31
21,8.0,2.0,-0.05,-0.57,0.31,0.01,8.0,0.31
22,126.0,104.0,0.56,0.11,0.55,0.02,126.0,0.55
23,233.0,89.0,0.72,0.48,0.97,0.01,233.0,0.97
24,233.0,89.0,0.72,0.48,0.97,0.01,233.0,0.97
25,233.0,89.0,0.72,0.48,0.97,0.01,233.0,0.97
26,115.0,20.0,0.92,0.49,0.81,0.0,115.0,0.81
27,115.0,20.0,0.92,0.49,0.81,0.0,115.0,0.81
28,115.0,20.0,0.92,0.49,0.81,0.0,115.0,0.81
29,246.0,156.0,0.57,0.47,0.28,0.0,246.0,0.28
30,246.0,156.0,0.57,0.47,0.28,0.0,246.0,0.28
31,246.0,156.0,0.57,0.47,0.28,0.0,246.0,0.28
32,113.0,29.0,0.74,0.67,0.8,0.0,113.0,0.8
33,113.0,29.0,0.74,0.67,0.8,0.0,113.0,0.8
34,243.0,50.0,0.63,0.57,0.12,0.0,243.0,0.12
35,243.0,50.0,0.63,0.57,0.12,0.0,243.0,0.12
36,176.0,53.0,0.51,-0.1,0.02,0.01,176.0,0.02
37,176.0,53.0,0.51,-0.1,0.02,0.01,176.0,0.02
38,176.0,53.0,0.51,-0.1,0.02,0.01,176.0,0.02
39,176.0,53.0,0.51,-0.1,0.02,0.01,176.0,0.02
40,239.0,74.0,0.7,0.92,0.64,0.01,239.0,0.64
41,239.0,74.0,0.7,0.92,0.64,0.01,239.0,0.64
42,101.0,42.0,0.62,0.51,0.0,0.0,101.0,0.0
43,101.0,42.0,0.62,0.51,0.0,0.0,101.0,0.0
44,189.0,80.0,0.36,0.02,0.02,0.0,189.0,0.02
45,189.0,80.0,0.36,0.02,0.02,0.0,189.0,0.02
46,189.0,80.0,0.36,0.02,0.02,0.0,189.0,0.02
47,211.0,57.0,0.6,0.72,0.99,0.0,211.0,0.99
48,183.0,58.0,0.59,-0.11,0.03,0.12,183.0,0.03
49,183.0,58.0,0.59,-0.11,0.03,0.12,183.0,0.03
50,189.0,57.0,0.02,0.28,0.01,0.01,189.0,0.01
51,189.0,57.0,0.02,0.28,0.01,0.01,189.0,0.01
52,189.0,57.0,0.02,0.28,0.01,0.01,189.0,0.01
53,132.0,49.0,0.69,0.53,0.02,0.0,132.0,0.02
54,132.0,49.0,0.69,0.53,0.02,0.0,132.0,0.02
55,140.0,43.0,0.18,-0.31,0.89,0.02,140.0,0.89
56,140.0,43.0,0.18,-0.31,0.89,0.02,140.0,0.89
57,127.0,43.0,0.77,0.69,0.98,0.0,127.0,0.98
58,214.0,132.0,0.44,0.61,0.02,0.01,214.0,0.02
59,127.0,43.0,0.77,0.69,0.98,0.0,127.0,0.98
60,127.0,43.0,0.77,0.69,0.98,0.0,127.0,0.98
61,338.0,77.0,0.62,0.61,0.02,0.07,338.0,0.02
62,202.0,38.0,-0.1,-0.44,0.02,0.0,202.0,0.02
63,202.0,38.0,-0.1,-0.44,0.02,0.0,202.0,0.02
64,175.5,95.0,0.78,0.775,0.395,0.0,175.5,0.395
65,125.0,40.0,0.79,0.82,0.78,0.0,125.0,0.78
66,175.5,95.0,0.78,0.775,0.395,0.0,175.5,0.395
67,175.5,95.0,0.78,0.775,0.395,0.0,175.5,0.395
68,125.0,40.0,0.79,0.82,0.78,0.0,125.0,0.78
69,146.0,47.0,0.2,0.15,0.38,0.0,146.0,0.38
70,146.0,47.0,0.2,0.15,0.38,0.0,146.0,0.38
