,pos_no,emo_neg,vocalarousal,vocalvalence,neg_p,vocalnegative
0,232.0,75.0,0.34,0.32,0.39,0.0
1,191.0,77.0,0.54,0.62,0.08,0.72
2,151.0,38.0,0.51,0.02,0.82,0.01
3,151.0,38.0,0.51,0.02,0.82,0.01
4,151.0,38.0,0.51,0.02,0.82,0.01
5,197.0,70.0,0.67,0.18,0.32,0.02
6,246.0,99.0,0.38,0.67,0.05,0.0
7,246.0,99.0,0.38,0.67,0.05,0.0
8,307.0,111.0,0.57,0.42,0.98,0.0
9,307.0,111.0,0.57,0.42,0.98,0.0
10,307.0,111.0,0.57,0.42,0.98,0.0
11,307.0,111.0,0.57,0.42,0.98,0.0
12,307.0,111.0,0.57,0.42,0.98,0.0
13,93.0,118.0,0.42,0.25,0.03,0.01
14,93.0,118.0,0.42,0.25,0.03,0.01
15,139.0,33.0,-0.21,-0.44,0.02,0.01
16,139.0,33.0,-0.21,-0.44,0.02,0.01
17,162.0,59.0,0.19,-0.15,0.02,0.0
18,139.0,33.0,-0.21,-0.44,0.02,0.01
19,8.0,2.0,-0.05,-0.57,0.31,0.01
20,8.0,2.0,-0.05,-0.57,0.31,0.01
21,8.0,2.0,-0.05,-0.57,0.31,0.01
22,126.0,104.0,0.56,0.11,0.55,0.02
23,233.0,89.0,0.72,0.48,0.97,0.01
24,233.0,89.0,0.72,0.48,0.97,0.01
25,233.0,89.0,0.72,0.48,0.97,0.01
26,115.0,20.0,0.92,0.49,0.81,0.0
27,115.0,20.0,0.92,0.49,0.81,0.0
28,115.0,20.0,0.92,0.49,0.81,0.0
29,246.0,156.0,0.57,0.47,0.28,0.0
30,246.0,156.0,0.57,0.47,0.28,0.0
31,246.0,156.0,0.57,0.47,0.28,0.0
32,113.0,29.0,0.74,0.67,0.8,0.0
33,113.0,29.0,0.74,0.67,0.8,0.0
34,243.0,50.0,0.63,0.57,0.12,0.0
35,243.0,50.0,0.63,0.57,0.12,0.0
36,176.0,53.0,0.51,-0.1,0.02,0.01
37,176.0,53.0,0.51,-0.1,0.02,0.01
38,176.0,53.0,0.51,-0.1,0.02,0.01
39,176.0,53.0,0.51,-0.1,0.02,0.01
40,239.0,74.0,0.7,0.92,0.64,0.01
41,239.0,74.0,0.7,0.92,0.64,0.01
42,101.0,42.0,0.62,0.51,0.0,0.0
43,101.0,42.0,0.62,0.51,0.0,0.0
44,189.0,80.0,0.36,0.02,0.02,0.0
45,189.0,80.0,0.36,0.02,0.02,0.0
46,189.0,80.0,0.36,0.02,0.02,0.0
47,211.0,57.0,0.6,0.72,0.99,0.0
48,183.0,58.0,0.59,-0.11,0.03,0.12
49,183.0,58.0,0.59,-0.11,0.03,0.12
50,189.0,57.0,0.02,0.28,0.01,0.01
51,189.0,57.0,0.02,0.28,0.01,0.01
52,189.0,57.0,0.02,0.28,0.01,0.01
53,132.0,49.0,0.69,0.53,0.02,0.0
54,132.0,49.0,0.69,0.53,0.02,0.0
55,140.0,43.0,0.18,-0.31,0.89,0.02
56,140.0,43.0,0.18,-0.31,0.89,0.02
57,127.0,43.0,0.77,0.69,0.98,0.0
58,214.0,132.0,0.44,0.61,0.02,0.01
59,127.0,43.0,0.77,0.69,0.98,0.0
60,127.0,43.0,0.77,0.69,0.98,0.0
61,338.0,77.0,0.62,0.61,0.02,0.07
62,202.0,38.0,-0.1,-0.44,0.02,0.0
63,202.0,38.0,-0.1,-0.44,0.02,0.0
64,175.5,95.0,0.78,0.775,0.395,0.0
65,125.0,40.0,0.79,0.82,0.78,0.0
66,175.5,95.0,0.78,0.775,0.395,0.0
67,175.5,95.0,0.78,0.775,0.395,0.0
68,125.0,40.0,0.79,0.82,0.78,0.0
69,146.0,47.0,0.2,0.15,0.38,0.0
70,146.0,47.0,0.2,0.15,0.38,0.0
71,146.0,47.0,0.2,0.15,0.38,0.0
72,167.0,127.0,0.68,0.77,0.0,0.0
73,167.0,127.0,0.68,0.77,0.0,0.0
74,220.0,141.0,0.45,0.37,0.18,0.09
75,220.0,141.0,0.45,0.37,0.18,0.09
76,293.0,83.0,0.45,0.57,0.02,0.0
77,293.0,83.0,0.45,0.57,0.02,0.0
78,293.0,83.0,0.45,0.57,0.02,0.0
79,237.0,56.0,0.5,0.01,0.01,0.01
80,237.0,56.0,0.5,0.01,0.01,0.01
81,237.0,56.0,0.5,0.01,0.01,0.01
82,237.0,56.0,0.5,0.01,0.01,0.01
83,254.0,121.0,0.22,0.2,0.05,0.07
84,254.0,121.0,0.22,0.2,0.05,0.07
85,188.0,109.0,0.5,0.61,0.43,0.04
86,188.0,109.0,0.5,0.61,0.43,0.04
87,156.0,53.0,0.08,-0.11,0.01,0.09
88,156.0,53.0,0.08,-0.11,0.01,0.09
89,156.0,53.0,0.08,-0.11,0.01,0.09
90,156.0,53.0,0.08,-0.11,0.01,0.09
91,179.0,182.0,0.64,0.59,0.94,0.0
92,179.0,182.0,0.64,0.59,0.94,0.0
93,179.0,182.0,0.64,0.59,0.94,0.0
94,179.0,182.0,0.64,0.59,0.94,0.0
95,299.0,84.0,0.55,0.59,0.27,0.0
96,299.0,84.0,0.55,0.59,0.27,0.0
97,237.0,55.0,0.35,0.54,0.97,0.01
98,237.0,55.0,0.35,0.54,0.97,0.01
99,120.0,32.0,0.36,0.57,0.08,0.0
100,120.0,32.0,0.36,0.57,0.08,0.0
101,120.0,32.0,0.36,0.57,0.08,0.0
102,180.0,56.0,0.53,0.33,0.01,0.02
103,180.0,56.0,0.53,0.33,0.01,0.02
104,218.0,58.0,-0.02,0.03,0.01,0.54
105,191.0,73.0,0.18,0.095,0.01,0.295
106,307.0,142.0,0.36,0.19,0.02,0.01
107,307.0,142.0,0.36,0.19,0.02,0.01
108,48.0,7.0,-0.12,-0.58,0.89,0.02
109,48.0,7.0,-0.12,-0.58,0.89,0.02
110,48.0,7.0,-0.12,-0.58,0.89,0.02
111,206.0,65.0,0.22,-0.08,0.07,0.03
112,241.0,46.0,0.53,0.52,0.04,0.0
113,206.0,65.0,0.22,-0.08,0.07,0.03
114,206.0,65.0,0.22,-0.08,0.07,0.03
115,311.0,85.0,0.55,0.58,0.02,0.02
116,260.0,40.0,0.34,0.46,0.01,0.0
117,126.0,34.0,0.32,0.07,0.98,0.0
118,126.0,34.0,0.32,0.07,0.98,0.0
119,126.0,34.0,0.32,0.07,0.98,0.0
120,228.0,152.0,-0.09,0.33,0.01,0.01
121,220.0,99.0,0.43,0.25,0.16,0.0
122,238.0,56.0,0.1,-0.01,0.0,0.95
123,238.0,56.0,0.1,-0.01,0.0,0.95
124,220.0,99.0,0.43,0.25,0.16,0.0
125,220.0,99.0,0.43,0.25,0.16,0.0
126,269.0,124.0,0.62,0.52,0.11,0.0
127,269.0,124.0,0.62,0.52,0.11,0.0
128,269.0,124.0,0.62,0.52,0.11,0.0
129,138.0,31.0,0.76,0.48,0.2,0.0
130,184.0,3.0,0.38,0.44,0.02,0.0
131,184.0,3.0,0.38,0.44,0.02,0.0
132,218.0,96.0,0.48,-0.05,0.18,0.13
133,218.0,96.0,0.48,-0.05,0.18,0.13
134,218.0,96.0,0.48,-0.05,0.18,0.13
135,218.0,96.0,0.48,-0.05,0.18,0.13
136,248.0,41.0,0.52,0.59,0.07,0.01
137,248.0,41.0,0.52,0.59,0.07,0.01
138,248.0,41.0,0.52,0.59,0.07,0.01
139,103.0,45.0,0.25,-0.27,0.03,0.03
140,103.0,45.0,0.25,-0.27,0.03,0.03
141,103.0,45.0,0.25,-0.27,0.03,0.03
142,130.0,39.0,0.69,0.71,0.01,0.0
143,130.0,39.0,0.69,0.71,0.01,0.0
144,130.0,39.0,0.69,0.71,0.01,0.0
145,130.0,39.0,0.69,0.71,0.01,0.0
146,264.0,45.0,0.99,0.71,0.16,0.0
147,243.0,96.0,0.6,0.48,0.03,0.0
148,243.0,96.0,0.6,0.48,0.03,0.0
149,243.0,96.0,0.6,0.48,0.03,0.0
150,132.0,38.0,0.03,-0.1,0.07,0.04
151,132.0,38.0,0.03,-0.1,0.07,0.04
152,132.0,38.0,0.03,-0.1,0.07,0.04
